Date,Open,High,Low,Close,Adj Close,Volume
2015-03-01,74.300003,77.000000,63.000000,68.500000,64.705833,928793
2015-04-01,68.000000,79.800003,65.400002,69.000000,65.178146,604314
2015-05-01,69.000000,72.500000,65.000000,67.050003,63.336147,312058
2015-06-01,68.000000,71.800003,60.750000,62.099998,58.660328,335069
2015-07-01,62.950001,79.550003,62.099998,71.300003,67.350746,3126139
2015-08-01,72.500000,73.750000,57.000000,61.349998,58.779163,808853
2015-09-01,61.000000,65.000000,54.450001,63.099998,60.455830,587038
2015-10-01,63.250000,69.800003,60.200001,65.099998,62.372025,1040496
2015-11-01,65.000000,72.949997,62.549999,71.400002,68.408035,732021
2015-12-01,71.000000,80.000000,63.099998,73.550003,70.467926,1520617
2016-01-01,73.949997,75.650002,58.700001,65.900002,63.138504,1197385
2016-02-01,65.849998,68.800003,56.000000,59.650002,57.150398,880776
2016-03-01,62.450001,70.400002,57.650002,68.000000,65.150497,1347406
2016-04-01,68.150002,72.199997,65.099998,70.050003,67.114601,609458
2016-05-01,70.500000,90.000000,69.000000,82.349998,78.899170,2774225
2016-06-01,81.650002,89.500000,80.199997,86.300003,82.683647,2270986
2016-07-01,86.599998,106.650002,85.449997,102.949997,98.635933,2214788
2016-08-01,104.550003,117.000000,98.800003,113.449997,110.044106,5196412
2016-09-01,114.349998,134.000000,108.349998,119.050003,115.475990,5564195
2016-10-01,121.000000,131.899994,108.000000,111.500000,108.152649,2490135
2016-11-01,117.900002,117.900002,87.000000,93.699997,90.887024,1665685
2016-12-01,92.449997,109.400002,75.750000,92.000000,89.238068,8215201
2017-01-01,93.900002,113.900002,90.199997,107.199997,103.981743,3068512
2017-02-01,108.099998,113.000000,96.900002,107.449997,104.224243,1694080
2017-03-01,108.800003,132.449997,107.099998,131.250000,127.309731,6171217
2017-04-01,132.000000,149.000000,129.199997,136.850006,132.741623,2994445
2017-05-01,136.850006,149.350006,132.199997,141.250000,137.009537,2800992
2017-06-01,139.300003,185.250000,138.800003,161.399994,156.554581,6694752
2017-07-01,162.949997,194.600006,160.050003,162.300003,158.686584,5759553
2017-08-01,160.649994,182.899994,142.199997,178.550003,174.574783,4137074
2017-09-01,179.050003,204.399994,168.000000,194.050003,189.729706,6721188
2017-10-01,194.050003,233.699997,192.500000,217.149994,212.315399,8373262
2017-11-01,218.500000,229.899994,207.100006,208.649994,204.004639,5621359
2017-12-01,208.100006,243.250000,196.500000,231.500000,226.345932,8099651
2018-01-01,233.300003,298.000000,226.750000,278.100006,271.908417,20179244
2018-02-01,278.100006,282.000000,221.000000,260.750000,254.944717,5247666
2018-03-01,258.000000,263.000000,228.000000,247.899994,242.380783,6539012
2018-04-01,248.149994,281.850006,244.100006,269.200012,263.206604,4822967
2018-05-01,269.200012,273.399994,238.750000,244.149994,238.714279,6099772
2018-06-01,245.600006,258.600006,215.500000,243.850006,238.420975,2791013
2018-07-01,243.000000,253.300003,215.500000,241.649994,236.269928,2418656
2018-08-01,242.800003,292.000000,232.399994,261.250000,256.873566,4437105
2018-09-01,263.149994,305.000000,249.000000,295.600006,290.648163,11965576
2018-10-01,289.000000,289.200012,212.500000,248.500000,244.337158,6600705
2018-11-01,249.050003,286.500000,245.500000,257.649994,253.333878,7532535
2018-12-01,259.899994,263.200012,205.050003,221.100006,217.396164,8216492
2019-01-01,222.550003,232.500000,206.000000,219.350006,215.675491,3605597
2019-02-01,221.550003,235.199997,211.399994,232.550003,228.654358,2267780
2019-03-01,234.000000,282.500000,233.050003,274.149994,269.557465,9334273
2019-04-01,276.000000,284.850006,254.750000,264.100006,259.675842,2737317
2019-05-01,264.100006,325.299988,263.000000,315.149994,309.870636,43969329
2019-06-01,316.899994,337.950012,264.250000,290.100006,285.240295,8563095
2019-07-01,295.000000,317.450012,266.750000,277.799988,275.132843,4613483
2019-08-01,279.700012,299.000000,257.299988,280.399994,277.707886,12543941
2019-09-01,275.500000,319.899994,267.000000,298.850006,295.980743,5013761
2019-10-01,299.850006,360.000000,286.049988,341.200012,337.924164,6304652
2019-11-01,341.000000,377.000000,334.100006,336.899994,333.665405,8782701
2019-12-01,337.950012,386.750000,325.000000,373.100006,369.517883,7004744
2020-01-01,370.100006,409.600006,365.100006,383.600006,379.917053,6968927
2020-02-01,381.850006,520.799988,371.450012,483.899994,479.254059,30887405
2020-03-01,483.000000,542.500000,310.000000,385.049988,381.353119,24425510
2020-04-01,383.500000,534.900024,358.399994,506.149994,506.149994,20497906
2020-05-01,482.000000,567.700012,468.250000,498.100006,498.100006,25679726
2020-06-01,505.000000,513.549988,457.700012,475.049988,475.049988,17741203
2020-07-01,478.750000,648.299988,474.500000,643.150024,643.150024,33655033
2020-08-01,647.400024,824.549988,567.000000,683.450012,683.450012,40534483
2020-09-01,690.200012,888.000000,671.150024,821.200012,821.200012,39671552
2020-10-01,829.000000,833.900024,702.099976,742.250000,742.250000,18475633
